season,venue,batting_team,bowling_team,final_score
2012,Subrata Roy Sahara Stadium,Pune Warriors,Delhi Daredevils,146
2012,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,168
2012,Subrata Roy Sahara Stadium,Deccan Chargers,Pune Warriors,177
2012,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,207
2012,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,Chennai Super Kings,156
2012,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,190
2012,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,152
2012,Wankhede Stadium,Deccan Chargers,Mumbai Indians,100
2012,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,139
2012,Barabati Stadium,Deccan Chargers,Pune Warriors,186
2012,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,141
